false_positive_rate,bond_ratio,true_positives_mean,false_positives_mean,net_gain_mean,net_gain_ci,challenger_profitable,honest_reputation_mean,byzantine_isolated_frac
0.000000,0.500000,10.000000,0.000000,1.000000,0.000000,1,0.770037,1.000000
0.000000,1.000000,10.000000,0.000000,1.000000,0.000000,1,0.770037,1.000000
0.000000,2.000000,10.000000,0.000000,1.000000,0.000000,1,0.770037,1.000000
0.000000,5.000000,10.000000,0.000000,1.000000,0.000000,1,0.770037,1.000000
0.010000,0.500000,10.000000,0.000000,1.000000,0.000000,1,0.770037,1.000000
0.010000,1.000000,10.000000,0.000000,1.000000,0.000000,1,0.770037,1.000000
0.010000,2.000000,10.000000,0.000000,1.000000,0.000000,1,0.770037,1.000000
0.010000,5.000000,10.000000,0.000000,1.000000,0.000000,1,0.770037,1.000000
0.050000,0.500000,10.000000,1.666667,0.916667,0.117781,1,0.770037,1.000000
0.050000,1.000000,10.000000,1.666667,0.833333,0.235563,1,0.770037,1.000000
0.050000,2.000000,10.000000,1.666667,0.666667,0.471125,1,0.770037,1.000000
0.050000,5.000000,10.000000,1.666667,0.166667,1.177813,1,0.770037,1.000000
0.100000,0.500000,10.000000,3.666667,0.816667,0.032667,1,0.770037,1.000000
0.100000,1.000000,10.000000,3.666667,0.633333,0.065333,1,0.770037,1.000000
0.100000,2.000000,10.000000,3.666667,0.266667,0.130667,1,0.770037,1.000000
0.100000,5.000000,10.000000,3.666667,-0.833333,0.326667,0,0.770037,1.000000
