p_guilty,bond_ratio,bond,reward,expected_payoff,challenge_profitable,equilibrium_bond_ratio,deterrence_margin
0.050000,0.100000,0.100000,1.000000,-0.045000,0,0.052632,0.047368
0.050000,0.250000,0.250000,1.000000,-0.187500,0,0.052632,0.197368
0.050000,0.500000,0.500000,1.000000,-0.425000,0,0.052632,0.447368
0.050000,1.000000,1.000000,1.000000,-0.900000,0,0.052632,0.947368
0.050000,2.000000,2.000000,1.000000,-1.850000,0,0.052632,1.947368
0.050000,5.000000,5.000000,1.000000,-4.700000,0,0.052632,4.947368
0.050000,10.000000,10.000000,1.000000,-9.450000,0,0.052632,9.947368
0.100000,0.100000,0.100000,1.000000,0.010000,1,0.111111,-0.011111
0.100000,0.250000,0.250000,1.000000,-0.125000,0,0.111111,0.138889
0.100000,0.500000,0.500000,1.000000,-0.350000,0,0.111111,0.388889
0.100000,1.000000,1.000000,1.000000,-0.800000,0,0.111111,0.888889
0.100000,2.000000,2.000000,1.000000,-1.700000,0,0.111111,1.888889
0.100000,5.000000,5.000000,1.000000,-4.400000,0,0.111111,4.888889
0.100000,10.000000,10.000000,1.000000,-8.900000,0,0.111111,9.888889
0.150000,0.100000,0.100000,1.000000,0.065000,1,0.176471,-0.076471
0.150000,0.250000,0.250000,1.000000,-0.062500,0,0.176471,0.073529
0.150000,0.500000,0.500000,1.000000,-0.275000,0,0.176471,0.323529
0.150000,1.000000,1.000000,1.000000,-0.700000,0,0.176471,0.823529
0.150000,2.000000,2.000000,1.000000,-1.550000,0,0.176471,1.823529
0.150000,5.000000,5.000000,1.000000,-4.100000,0,0.176471,4.823529
0.150000,10.000000,10.000000,1.000000,-8.350000,0,0.176471,9.823529
0.200000,0.100000,0.100000,1.000000,0.120000,1,0.250000,-0.150000
0.200000,0.250000,0.250000,1.000000,0.000000,0,0.250000,0.000000
0.200000,0.500000,0.500000,1.000000,-0.200000,0,0.250000,0.250000
0.200000,1.000000,1.000000,1.000000,-0.600000,0,0.250000,0.750000
0.200000,2.000000,2.000000,1.000000,-1.400000,0,0.250000,1.750000
0.200000,5.000000,5.000000,1.000000,-3.800000,0,0.250000,4.750000
0.200000,10.000000,10.000000,1.000000,-7.800000,0,0.250000,9.750000
0.300000,0.100000,0.100000,1.000000,0.230000,1,0.428571,-0.328571
0.300000,0.250000,0.250000,1.000000,0.125000,1,0.428571,-0.178571
0.300000,0.500000,0.500000,1.000000,-0.050000,0,0.428571,0.071429
0.300000,1.000000,1.000000,1.000000,-0.400000,0,0.428571,0.571429
0.300000,2.000000,2.000000,1.000000,-1.100000,0,0.428571,1.571429
0.300000,5.000000,5.000000,1.000000,-3.200000,0,0.428571,4.571429
0.300000,10.000000,10.000000,1.000000,-6.700000,0,0.428571,9.571429
0.400000,0.100000,0.100000,1.000000,0.340000,1,0.666667,-0.566667
0.400000,0.250000,0.250000,1.000000,0.250000,1,0.666667,-0.416667
0.400000,0.500000,0.500000,1.000000,0.100000,1,0.666667,-0.166667
0.400000,1.000000,1.000000,1.000000,-0.200000,0,0.666667,0.333333
0.400000,2.000000,2.000000,1.000000,-0.800000,0,0.666667,1.333333
0.400000,5.000000,5.000000,1.000000,-2.600000,0,0.666667,4.333333
0.400000,10.000000,10.000000,1.000000,-5.600000,0,0.666667,9.333333
0.500000,0.100000,0.100000,1.000000,0.450000,1,1.000000,-0.900000
0.500000,0.250000,0.250000,1.000000,0.375000,1,1.000000,-0.750000
0.500000,0.500000,0.500000,1.000000,0.250000,1,1.000000,-0.500000
0.500000,1.000000,1.000000,1.000000,0.000000,0,1.000000,0.000000
0.500000,2.000000,2.000000,1.000000,-0.500000,0,1.000000,1.000000
0.500000,5.000000,5.000000,1.000000,-2.000000,0,1.000000,4.000000
0.500000,10.000000,10.000000,1.000000,-4.500000,0,1.000000,9.000000
