churn_rate,rejoin_rate,mean_outage_rounds,latency_ms,loss,steady_accuracy_mean,steady_accuracy_ci,round_completeness_mean,round_completeness_ci,honest_ineligible_mean,honest_jailed_total,mean_offline_nodes,coordination_ms_mean,recovery_round_mean
0.000000,0.300000,0.000000,50,0.000000,1.000000,0.000000,0.785000,0.029400,0.000000,0.000000,0.000000,468.900000,6.500000
0.000000,0.300000,0.000000,200,0.025000,1.000000,0.000000,0.785000,0.029400,0.000000,0.000000,0.000000,472.100000,6.000000
0.000000,0.300000,0.000000,500,0.050000,1.000000,0.000000,0.795000,0.009800,0.000000,0.000000,0.000000,471.600000,6.000000
0.010000,0.300000,3.333333,50,0.000000,1.000000,0.000000,0.770000,0.039200,0.000000,0.000000,0.250000,470.850000,7.500000
0.010000,0.300000,3.333333,200,0.025000,1.000000,0.000000,0.740000,0.039200,0.000000,0.000000,0.500000,467.650000,7.000000
0.010000,0.300000,3.333333,500,0.050000,1.000000,0.000000,0.755000,0.068600,0.000000,0.000000,0.400000,466.950000,7.000000
0.010000,0.100000,10.000000,50,0.000000,1.000000,0.000000,0.755000,0.068600,0.000000,0.000000,0.400000,470.950000,7.500000
0.010000,0.100000,10.000000,200,0.025000,1.000000,0.000000,0.730000,0.058800,0.000000,0.000000,0.600000,467.150000,7.000000
0.010000,0.100000,10.000000,500,0.050000,1.000000,0.000000,0.745000,0.088200,0.000000,0.000000,0.500000,466.450000,7.000000
0.010000,0.020000,50.000000,50,0.000000,1.000000,0.000000,0.700000,0.039200,0.000000,0.000000,0.900000,472.450000,7.500000
0.010000,0.020000,50.000000,200,0.025000,1.000000,0.000000,0.720000,0.039200,0.000000,0.000000,0.700000,466.750000,7.000000
0.010000,0.020000,50.000000,500,0.050000,1.000000,0.000000,0.745000,0.088200,0.000000,0.000000,0.500000,466.450000,7.000000
0.050000,0.300000,3.333333,50,0.000000,1.000000,0.000000,0.680000,0.196000,0.000000,0.000000,1.300000,469.650000,7.000000
0.050000,0.300000,3.333333,200,0.025000,1.000000,0.000000,0.715000,0.029400,0.000000,0.000000,0.800000,472.650000,7.000000
0.050000,0.300000,3.333333,500,0.050000,1.000000,0.000000,0.710000,0.000000,0.000000,0.000000,1.150000,471.800000,7.000000
0.050000,0.100000,10.000000,50,0.000000,1.000000,0.000000,0.450000,0.372400,0.000000,0.000000,4.550000,465.750000,7.000000
0.050000,0.100000,10.000000,200,0.025000,1.000000,0.000000,0.685000,0.009800,0.000000,0.000000,1.150000,475.750000,7.000000
0.050000,0.100000,10.000000,500,0.050000,1.000000,0.000000,0.570000,0.137200,0.000000,0.000000,2.850000,481.050000,7.000000
0.050000,0.020000,50.000000,50,0.000000,1.000000,0.000000,0.380000,0.215600,0.000000,0.000000,5.150000,466.000000,7.000000
0.050000,0.020000,50.000000,200,0.025000,1.000000,0.000000,0.650000,0.019600,0.000000,0.000000,1.500000,474.200000,7.000000
0.050000,0.020000,50.000000,500,0.050000,1.000000,0.000000,0.480000,0.098000,0.000000,0.000000,4.450000,482.000000,7.000000
0.100000,0.300000,3.333333,50,0.000000,1.000000,0.000000,0.590000,0.019600,0.000000,0.000000,2.450000,475.250000,7.000000
0.100000,0.300000,3.333333,200,0.025000,1.000000,0.000000,0.620000,0.215600,0.000000,0.000000,2.150000,473.150000,8.000000
0.100000,0.300000,3.333333,500,0.050000,1.000000,0.000000,0.545000,0.088200,0.000000,0.000000,2.900000,469.150000,8.000000
0.100000,0.100000,10.000000,50,0.000000,0.920000,0.156800,0.450000,0.117600,0.000000,0.000000,4.450000,463.350000,12.500000
0.100000,0.100000,10.000000,200,0.025000,0.990000,0.019600,0.455000,0.127400,0.000000,0.000000,4.150000,474.000000,10.500000
0.100000,0.100000,10.000000,500,0.050000,0.990000,0.019600,0.480000,0.039200,0.000000,0.000000,3.550000,474.900000,10.000000
0.100000,0.020000,50.000000,50,0.000000,0.915000,0.166600,0.370000,0.019600,0.000000,0.000000,5.200000,466.900000,12.500000
0.100000,0.020000,50.000000,200,0.025000,0.905000,0.009800,0.465000,0.205800,0.000000,0.000000,4.950000,478.400000,13.000000
0.100000,0.020000,50.000000,500,0.050000,0.950000,0.098000,0.360000,0.000000,0.000000,0.000000,5.250000,476.900000,6.500000
