regime,outage_rounds,honest_ineligible_at_heal,honest_ineligible_frac,rounds_to_regain_eligibility,honest_jailed_total,honest_stake_slashed_total
fresh,60,0.000000,0.000000,1.000000,0.000000,0.000000
fresh,65,0.000000,0.000000,1.000000,0.000000,0.000000
fresh,68,0.000000,0.000000,1.000000,0.000000,0.000000
fresh,69,15.933333,0.796667,1.000000,0.000000,0.000000
fresh,70,15.933333,0.796667,1.000000,0.000000,0.000000
fresh,75,15.933333,0.796667,1.000000,0.000000,0.000000
fresh,76,15.933333,0.796667,1.000000,0.000000,0.000000
fresh,80,15.933333,0.796667,1.000000,0.000000,0.000000
fresh,82,15.933333,0.796667,1.000000,0.000000,0.000000
fresh,83,15.933333,0.796667,1.000000,0.000000,0.000000
fresh,90,15.933333,0.796667,1.000000,0.000000,0.000000
fresh,120,15.933333,0.796667,1.000000,0.000000,0.000000
established,60,0.000000,0.000000,1.000000,0.000000,0.000000
established,65,0.000000,0.000000,1.000000,0.000000,0.000000
established,68,0.000000,0.000000,1.000000,0.000000,0.000000
established,69,0.000000,0.000000,1.000000,0.000000,0.000000
established,70,0.000000,0.000000,1.000000,0.000000,0.000000
established,75,0.000000,0.000000,1.000000,0.000000,0.000000
established,76,15.833333,0.791667,1.000000,0.000000,0.000000
established,80,15.833333,0.791667,1.000000,0.000000,0.000000
established,82,15.833333,0.791667,1.000000,0.000000,0.000000
established,83,15.833333,0.791667,1.000000,0.000000,0.000000
established,90,15.833333,0.791667,1.000000,0.000000,0.000000
established,120,15.833333,0.791667,1.000000,0.000000,0.000000
