round,action,fault_index,raw_reputation,eligible,jailed
1,invalid,1,0.250000000,1,0
2,invalid,2,0.125000000,1,0
3,invalid,3,0.062500000,1,0
4,invalid,4,0.031250000,1,0
5,invalid,5,0.015625000,1,0
6,valid,5,0.015778824,1,0
7,valid,5,0.015959039,1,0
8,valid,5,0.016156568,1,0
9,valid,5,0.016365074,1,0
10,valid,5,0.016580141,1,0
11,valid,5,0.016798695,1,0
12,valid,5,0.017018601,1,0
13,valid,5,0.017238382,1,0
14,valid,5,0.017457024,1,0
15,valid,5,0.017673830,1,0
16,valid,5,0.017888332,1,0
17,valid,5,0.018100217,1,0
18,valid,5,0.018309283,1,0
19,valid,5,0.018515402,1,0
20,valid,5,0.018718504,1,0
21,valid,5,0.018918551,1,0
22,valid,5,0.019115535,1,0
23,valid,5,0.019309462,1,0
24,valid,5,0.019500354,1,0
25,valid,5,0.019688239,1,0
26,valid,5,0.019873150,1,0
27,valid,5,0.020055126,1,0
28,valid,5,0.020234207,1,0
29,valid,5,0.020410433,1,0
30,valid,5,0.020583848,1,0
31,valid,5,0.020754493,1,0
32,valid,5,0.020922412,1,0
33,valid,5,0.021087647,1,0
34,valid,5,0.021250241,1,0
35,valid,5,0.021410234,1,0
36,valid,5,0.021567668,1,0
37,valid,5,0.021722584,1,0
38,valid,5,0.021875021,1,0
39,valid,5,0.022025020,1,0
40,valid,5,0.022172619,1,0
41,valid,5,0.022317857,1,0
42,valid,5,0.022460771,1,0
43,valid,5,0.022601398,1,0
44,valid,5,0.022739776,1,0
45,valid,5,0.022875939,1,0
46,valid,5,0.023009924,1,0
47,valid,5,0.023141766,1,0
48,valid,5,0.023271497,1,0
49,valid,5,0.023399153,1,0
50,valid,5,0.023524767,1,0
51,valid,5,0.023648371,1,0
52,valid,5,0.023769997,1,0
53,valid,5,0.023889677,1,0
54,valid,5,0.024007442,1,0
55,valid,5,0.024123323,1,0
56,valid,5,0.024237350,1,0
57,valid,5,0.024349552,1,0
58,valid,5,0.024459959,1,0
59,valid,5,0.024568600,1,0
60,valid,5,0.024675502,1,0
61,valid,5,0.024780694,1,0
62,valid,5,0.024884203,1,0
63,valid,5,0.024986056,1,0
64,valid,5,0.025086279,1,0
65,valid,5,0.025184898,1,0
66,valid,5,0.025281940,1,0
67,valid,5,0.025377429,1,0
68,valid,5,0.025471390,1,0
69,valid,5,0.025563848,1,0
70,valid,5,0.025654826,1,0
71,valid,5,0.025744349,1,0
72,valid,5,0.025832440,1,0
73,valid,5,0.025919121,1,0
74,valid,5,0.026004415,1,0
75,valid,5,0.026088344,1,0
