round,weight_ratio,action
1,1.000000000,valid
2,1.000000000,valid
3,1.000000000,valid
4,1.000000000,valid
5,1.000000000,valid
6,1.000000000,valid
7,1.000000000,valid
8,1.000000000,valid
9,1.000000000,valid
10,1.000000000,valid
11,1.000000000,valid
12,1.000000000,valid
13,1.000000000,valid
14,1.000000000,valid
15,1.000000000,valid
16,1.000000000,valid
17,1.000000000,valid
18,1.000000000,valid
19,1.000000000,valid
20,1.000000000,valid
21,1.000000000,valid
22,1.000000000,valid
23,1.000000000,valid
24,1.000000000,valid
25,1.000000000,valid
26,1.000000000,valid
27,1.000000000,valid
28,1.000000000,valid
29,1.000000000,valid
30,1.000000000,valid
31,1.000000000,valid
32,1.000000000,valid
33,1.000000000,valid
34,1.000000000,valid
35,1.000000000,valid
36,1.000000000,valid
37,1.000000000,valid
38,1.000000000,valid
39,1.000000000,valid
40,1.000000000,valid
41,1.000000000,valid
42,1.000000000,valid
43,1.000000000,valid
44,1.000000000,valid
45,1.000000000,valid
46,1.000000000,valid
47,1.000000000,valid
48,1.000000000,valid
49,1.000000000,valid
50,1.000000000,valid
51,1.000000000,valid
52,1.000000000,valid
53,1.000000000,valid
54,1.000000000,valid
55,1.000000000,valid
56,1.000000000,valid
57,1.000000000,valid
58,1.000000000,valid
59,1.000000000,valid
60,1.000000000,valid
61,1.000000000,valid
62,1.000000000,valid
63,1.000000000,valid
64,1.000000000,valid
65,1.000000000,valid
66,1.000000000,valid
67,1.000000000,valid
68,1.000000000,valid
69,1.000000000,valid
70,1.000000000,valid
71,1.000000000,valid
72,1.000000000,valid
73,1.000000000,valid
74,1.000000000,valid
75,1.000000000,valid
76,1.000000000,valid
77,1.000000000,valid
78,1.000000000,valid
79,1.000000000,valid
80,1.000000000,valid
81,1.000000000,valid
82,1.000000000,valid
83,1.000000000,valid
84,1.000000000,valid
85,1.000000000,valid
86,1.000000000,valid
87,1.000000000,valid
88,1.000000000,valid
89,1.000000000,valid
90,1.000000000,valid
91,1.000000000,valid
92,1.000000000,valid
93,1.000000000,valid
94,1.000000000,valid
95,1.000000000,valid
96,1.000000000,valid
97,1.000000000,valid
98,1.000000000,valid
99,1.000000000,valid
100,1.000000000,valid
101,0.499105073,invalid
102,0.249114076,invalid
103,0.124342348,invalid
104,0.062066188,invalid
105,0.030981895,invalid
106,0.000000000,invalid
107,0.000000000,invalid
108,0.000000000,invalid
109,0.000000000,invalid
110,0.000000000,invalid
111,0.000000000,invalid
112,0.000000000,invalid
113,0.000000000,invalid
114,0.000000000,invalid
115,0.000000000,invalid
116,0.000000000,invalid
117,0.000000000,invalid
118,0.000000000,invalid
119,0.000000000,invalid
120,0.000000000,invalid
121,0.000000000,invalid
122,0.000000000,invalid
123,0.000000000,invalid
124,0.000000000,invalid
125,0.000000000,invalid
126,0.000000000,invalid
127,0.000000000,invalid
128,0.000000000,invalid
129,0.000000000,invalid
130,0.000000000,invalid
131,0.000000000,invalid
132,0.000000000,invalid
133,0.000000000,invalid
134,0.000000000,invalid
135,0.000000000,invalid
136,0.000000000,invalid
137,0.000000000,invalid
138,0.000000000,invalid
139,0.000000000,invalid
140,0.000000000,invalid
141,0.000000000,invalid
142,0.000000000,invalid
143,0.000000000,invalid
144,0.000000000,invalid
145,0.000000000,invalid
146,0.000000000,invalid
147,0.000000000,invalid
148,0.000000000,invalid
149,0.000000000,invalid
150,0.000000000,invalid
151,0.000000000,invalid
152,0.000000000,invalid
153,0.000000000,invalid
154,0.000000000,invalid
155,0.000000000,invalid
156,0.000000000,invalid
157,0.000000000,invalid
158,0.000000000,invalid
159,0.000000000,invalid
160,0.000000000,invalid
161,0.000000000,invalid
162,0.000000000,invalid
163,0.000000000,invalid
164,0.000000000,invalid
165,0.000000000,invalid
166,0.000000000,invalid
167,0.000000000,invalid
168,0.000000000,invalid
169,0.000000000,invalid
170,0.000000000,invalid
171,0.000000000,invalid
172,0.000000000,invalid
173,0.000000000,invalid
174,0.000000000,invalid
175,0.000000000,invalid
176,0.000000000,invalid
177,0.000000000,invalid
178,0.000000000,invalid
179,0.000000000,invalid
180,0.000000000,invalid
181,0.000000000,invalid
182,0.000000000,invalid
183,0.000000000,invalid
184,0.000000000,invalid
185,0.000000000,invalid
186,0.000000000,invalid
187,0.000000000,invalid
188,0.000000000,invalid
189,0.000000000,invalid
190,0.000000000,invalid
191,0.000000000,invalid
192,0.000000000,invalid
193,0.000000000,invalid
194,0.000000000,invalid
195,0.000000000,invalid
196,0.000000000,invalid
197,0.000000000,invalid
198,0.000000000,invalid
199,0.000000000,invalid
200,0.000000000,invalid
201,0.000000000,invalid
202,0.000000000,invalid
203,0.000000000,invalid
204,0.000000000,invalid
205,0.000000000,invalid
206,0.000000000,invalid
207,0.000000000,invalid
208,0.000000000,invalid
209,0.000000000,invalid
210,0.000000000,invalid
211,0.000000000,invalid
212,0.000000000,invalid
213,0.000000000,invalid
214,0.000000000,invalid
215,0.000000000,invalid
216,0.000000000,invalid
217,0.000000000,invalid
218,0.000000000,invalid
219,0.000000000,invalid
220,0.000000000,invalid
221,0.000000000,invalid
222,0.000000000,invalid
223,0.000000000,invalid
224,0.000000000,invalid
225,0.000000000,invalid
226,0.000000000,invalid
227,0.000000000,invalid
228,0.000000000,invalid
229,0.000000000,invalid
230,0.000000000,invalid
231,0.000000000,invalid
232,0.000000000,invalid
233,0.000000000,invalid
234,0.000000000,invalid
235,0.000000000,invalid
236,0.000000000,invalid
237,0.000000000,invalid
238,0.000000000,invalid
239,0.000000000,invalid
240,0.000000000,invalid
241,0.000000000,invalid
242,0.000000000,invalid
243,0.000000000,invalid
244,0.000000000,invalid
245,0.000000000,invalid
246,0.000000000,invalid
247,0.000000000,invalid
248,0.000000000,invalid
249,0.000000000,invalid
250,0.000000000,invalid
251,0.000000000,invalid
252,0.000000000,invalid
253,0.000000000,invalid
254,0.000000000,invalid
255,0.000000000,invalid
256,0.000000000,invalid
257,0.000000000,invalid
258,0.000000000,invalid
259,0.000000000,invalid
260,0.000000000,invalid
261,0.000000000,invalid
262,0.000000000,invalid
263,0.000000000,invalid
264,0.000000000,invalid
265,0.000000000,invalid
266,0.000000000,invalid
267,0.000000000,invalid
268,0.000000000,invalid
269,0.000000000,invalid
270,0.000000000,invalid
271,0.000000000,invalid
272,0.000000000,invalid
273,0.000000000,invalid
274,0.000000000,invalid
275,0.000000000,invalid
276,0.000000000,invalid
277,0.000000000,invalid
278,0.000000000,invalid
279,0.000000000,invalid
280,0.000000000,invalid
281,0.000000000,invalid
282,0.000000000,invalid
283,0.000000000,invalid
284,0.000000000,invalid
285,0.000000000,invalid
286,0.000000000,invalid
287,0.000000000,invalid
288,0.000000000,invalid
289,0.000000000,invalid
290,0.000000000,invalid
291,0.000000000,invalid
292,0.000000000,invalid
293,0.000000000,invalid
294,0.000000000,invalid
295,0.000000000,invalid
296,0.000000000,invalid
297,0.000000000,invalid
298,0.000000000,invalid
299,0.000000000,invalid
300,0.000000000,invalid
301,0.000000000,invalid
302,0.000000000,invalid
303,0.000000000,invalid
304,0.000000000,invalid
305,0.000000000,invalid
306,0.000000000,invalid
307,0.000000000,invalid
308,0.000000000,invalid
309,0.000000000,invalid
310,0.000000000,invalid
311,0.000000000,invalid
312,0.000000000,invalid
313,0.000000000,invalid
314,0.000000000,invalid
315,0.000000000,invalid
316,0.000000000,invalid
317,0.000000000,invalid
318,0.000000000,invalid
319,0.000000000,invalid
320,0.000000000,invalid
321,0.000000000,invalid
322,0.000000000,invalid
323,0.000000000,invalid
324,0.000000000,invalid
325,0.000000000,invalid
326,0.000000000,invalid
327,0.000000000,invalid
328,0.000000000,invalid
329,0.000000000,invalid
330,0.000000000,invalid
331,0.000000000,invalid
332,0.000000000,invalid
333,0.000000000,invalid
334,0.000000000,invalid
335,0.000000000,invalid
336,0.000000000,invalid
337,0.000000000,invalid
338,0.000000000,invalid
339,0.000000000,invalid
340,0.000000000,invalid
341,0.000000000,invalid
342,0.000000000,invalid
343,0.000000000,invalid
344,0.000000000,invalid
345,0.000000000,invalid
346,0.000000000,invalid
347,0.000000000,invalid
348,0.000000000,invalid
349,0.000000000,invalid
350,0.000000000,invalid
351,0.000000000,invalid
352,0.000000000,invalid
353,0.000000000,invalid
354,0.000000000,invalid
355,0.000000000,invalid
356,0.000000000,invalid
357,0.000000000,invalid
358,0.000000000,invalid
359,0.000000000,invalid
360,0.000000000,invalid
361,0.000000000,invalid
362,0.000000000,invalid
363,0.000000000,invalid
364,0.000000000,invalid
365,0.000000000,invalid
366,0.000000000,invalid
367,0.000000000,invalid
368,0.000000000,invalid
369,0.000000000,invalid
370,0.000000000,invalid
371,0.000000000,invalid
372,0.000000000,invalid
373,0.000000000,invalid
374,0.000000000,invalid
375,0.000000000,invalid
376,0.000000000,invalid
377,0.000000000,invalid
378,0.000000000,invalid
379,0.000000000,invalid
380,0.000000000,invalid
381,0.000000000,invalid
382,0.000000000,invalid
383,0.000000000,invalid
384,0.000000000,invalid
385,0.000000000,invalid
386,0.000000000,invalid
387,0.000000000,invalid
388,0.000000000,invalid
389,0.000000000,invalid
390,0.000000000,invalid
391,0.000000000,invalid
392,0.000000000,invalid
393,0.000000000,invalid
394,0.000000000,invalid
395,0.000000000,invalid
396,0.000000000,invalid
397,0.000000000,invalid
398,0.000000000,invalid
399,0.000000000,invalid
400,0.000000000,invalid
401,0.000000000,invalid
402,0.000000000,invalid
403,0.000000000,invalid
404,0.000000000,invalid
405,0.000000000,invalid
406,0.000000000,invalid
407,0.000000000,invalid
408,0.000000000,invalid
409,0.000000000,invalid
410,0.000000000,invalid
411,0.000000000,invalid
412,0.000000000,invalid
413,0.000000000,invalid
414,0.000000000,invalid
415,0.000000000,invalid
416,0.000000000,invalid
417,0.000000000,invalid
418,0.000000000,invalid
419,0.000000000,invalid
420,0.000000000,invalid
421,0.000000000,invalid
422,0.000000000,invalid
423,0.000000000,invalid
424,0.000000000,invalid
425,0.000000000,invalid
426,0.000000000,invalid
427,0.000000000,invalid
428,0.000000000,invalid
429,0.000000000,invalid
430,0.000000000,invalid
431,0.000000000,invalid
432,0.000000000,invalid
433,0.000000000,invalid
434,0.000000000,invalid
435,0.000000000,invalid
436,0.000000000,invalid
437,0.000000000,invalid
438,0.000000000,invalid
439,0.000000000,invalid
440,0.000000000,invalid
441,0.000000000,invalid
442,0.000000000,invalid
443,0.000000000,invalid
444,0.000000000,invalid
445,0.000000000,invalid
446,0.000000000,invalid
447,0.000000000,invalid
448,0.000000000,invalid
449,0.000000000,invalid
450,0.000000000,invalid
451,0.000000000,invalid
452,0.000000000,invalid
453,0.000000000,invalid
454,0.000000000,invalid
455,0.000000000,invalid
456,0.000000000,invalid
457,0.000000000,invalid
458,0.000000000,invalid
459,0.000000000,invalid
460,0.000000000,invalid
461,0.000000000,invalid
462,0.000000000,invalid
463,0.000000000,invalid
464,0.000000000,invalid
465,0.000000000,invalid
466,0.000000000,invalid
467,0.000000000,invalid
468,0.000000000,invalid
469,0.000000000,invalid
470,0.000000000,invalid
471,0.000000000,invalid
472,0.000000000,invalid
473,0.000000000,invalid
474,0.000000000,invalid
475,0.000000000,invalid
476,0.000000000,invalid
477,0.000000000,invalid
478,0.000000000,invalid
479,0.000000000,invalid
480,0.000000000,invalid
481,0.000000000,invalid
482,0.000000000,invalid
483,0.000000000,invalid
484,0.000000000,invalid
485,0.000000000,invalid
486,0.000000000,invalid
487,0.000000000,invalid
488,0.000000000,invalid
489,0.000000000,invalid
490,0.000000000,invalid
491,0.000000000,invalid
492,0.000000000,invalid
493,0.000000000,invalid
494,0.000000000,invalid
495,0.000000000,invalid
496,0.000000000,invalid
497,0.000000000,invalid
498,0.000000000,invalid
499,0.000000000,invalid
500,0.000000000,invalid
