round,weight_ratio,action
1,1.000000000,valid
2,1.000000000,valid
3,1.000000000,valid
4,1.000000000,valid
5,1.000000000,valid
6,0.493380519,invalid
7,0.492652487,valid
8,0.492227329,valid
9,0.492008126,valid
10,0.491928184,valid
11,0.491941652,valid
12,0.243127486,invalid
13,0.242836161,valid
14,0.242697600,valid
15,0.242662366,valid
16,0.242696429,valid
17,0.242776382,valid
18,0.120188101,invalid
19,0.120083618,valid
20,0.120050267,valid
21,0.120064882,valid
22,0.120111487,valid
23,0.120179082,valid
24,0.059579059,invalid
25,0.059541841,valid
26,0.059537907,valid
27,0.059556382,valid
28,0.059589759,valid
29,0.059632855,valid
30,0.029597461,invalid
31,0.029584126,valid
32,0.029586533,valid
33,0.029599534,valid
34,0.029619570,valid
35,0.029644181,valid
36,0.000000000,invalid
37,0.000000000,valid
38,0.000000000,valid
39,0.000000000,valid
40,0.000000000,valid
41,0.000000000,valid
42,0.000000000,invalid
43,0.000000000,valid
44,0.000000000,valid
45,0.000000000,valid
46,0.000000000,valid
47,0.000000000,valid
48,0.000000000,invalid
49,0.000000000,valid
50,0.000000000,valid
51,0.000000000,valid
52,0.000000000,valid
53,0.000000000,valid
54,0.000000000,invalid
55,0.000000000,valid
56,0.000000000,valid
57,0.000000000,valid
58,0.000000000,valid
59,0.000000000,valid
60,0.000000000,invalid
61,0.000000000,valid
62,0.000000000,valid
63,0.000000000,valid
64,0.000000000,valid
65,0.000000000,valid
66,0.000000000,invalid
67,0.000000000,valid
68,0.000000000,valid
69,0.000000000,valid
70,0.000000000,valid
71,0.000000000,valid
72,0.000000000,invalid
73,0.000000000,valid
74,0.000000000,valid
75,0.000000000,valid
76,0.000000000,valid
77,0.000000000,valid
78,0.000000000,invalid
79,0.000000000,valid
80,0.000000000,valid
81,0.000000000,valid
82,0.000000000,valid
83,0.000000000,valid
84,0.000000000,invalid
85,0.000000000,valid
86,0.000000000,valid
87,0.000000000,valid
88,0.000000000,valid
89,0.000000000,valid
90,0.000000000,invalid
91,0.000000000,valid
92,0.000000000,valid
93,0.000000000,valid
94,0.000000000,valid
95,0.000000000,valid
96,0.000000000,invalid
97,0.000000000,valid
98,0.000000000,valid
99,0.000000000,valid
100,0.000000000,valid
101,0.000000000,valid
102,0.000000000,invalid
103,0.000000000,valid
104,0.000000000,valid
105,0.000000000,valid
106,0.000000000,valid
107,0.000000000,valid
108,0.000000000,invalid
109,0.000000000,valid
110,0.000000000,valid
111,0.000000000,valid
112,0.000000000,valid
113,0.000000000,valid
114,0.000000000,invalid
115,0.000000000,valid
116,0.000000000,valid
117,0.000000000,valid
118,0.000000000,valid
119,0.000000000,valid
120,0.000000000,invalid
121,0.000000000,valid
122,0.000000000,valid
123,0.000000000,valid
124,0.000000000,valid
125,0.000000000,valid
126,0.000000000,invalid
127,0.000000000,valid
128,0.000000000,valid
129,0.000000000,valid
130,0.000000000,valid
131,0.000000000,valid
132,0.000000000,invalid
133,0.000000000,valid
134,0.000000000,valid
135,0.000000000,valid
136,0.000000000,valid
137,0.000000000,valid
138,0.000000000,invalid
139,0.000000000,valid
140,0.000000000,valid
141,0.000000000,valid
142,0.000000000,valid
143,0.000000000,valid
144,0.000000000,invalid
145,0.000000000,valid
146,0.000000000,valid
147,0.000000000,valid
148,0.000000000,valid
149,0.000000000,valid
150,0.000000000,invalid
151,0.000000000,valid
152,0.000000000,valid
153,0.000000000,valid
154,0.000000000,valid
155,0.000000000,valid
156,0.000000000,invalid
157,0.000000000,valid
158,0.000000000,valid
159,0.000000000,valid
160,0.000000000,valid
161,0.000000000,valid
162,0.000000000,invalid
163,0.000000000,valid
164,0.000000000,valid
165,0.000000000,valid
166,0.000000000,valid
167,0.000000000,valid
168,0.000000000,invalid
169,0.000000000,valid
170,0.000000000,valid
171,0.000000000,valid
172,0.000000000,valid
173,0.000000000,valid
174,0.000000000,invalid
175,0.000000000,valid
176,0.000000000,valid
177,0.000000000,valid
178,0.000000000,valid
179,0.000000000,valid
180,0.000000000,invalid
181,0.000000000,valid
182,0.000000000,valid
183,0.000000000,valid
184,0.000000000,valid
185,0.000000000,valid
186,0.000000000,invalid
187,0.000000000,valid
188,0.000000000,valid
189,0.000000000,valid
190,0.000000000,valid
191,0.000000000,valid
192,0.000000000,invalid
193,0.000000000,valid
194,0.000000000,valid
195,0.000000000,valid
196,0.000000000,valid
197,0.000000000,valid
198,0.000000000,invalid
199,0.000000000,valid
200,0.000000000,valid
201,0.000000000,valid
202,0.000000000,valid
203,0.000000000,valid
204,0.000000000,invalid
205,0.000000000,valid
206,0.000000000,valid
207,0.000000000,valid
208,0.000000000,valid
209,0.000000000,valid
210,0.000000000,invalid
211,0.000000000,valid
212,0.000000000,valid
213,0.000000000,valid
214,0.000000000,valid
215,0.000000000,valid
216,0.000000000,invalid
217,0.000000000,valid
218,0.000000000,valid
219,0.000000000,valid
220,0.000000000,valid
221,0.000000000,valid
222,0.000000000,invalid
223,0.000000000,valid
224,0.000000000,valid
225,0.000000000,valid
226,0.000000000,valid
227,0.000000000,valid
228,0.000000000,invalid
229,0.000000000,valid
230,0.000000000,valid
231,0.000000000,valid
232,0.000000000,valid
233,0.000000000,valid
234,0.000000000,invalid
235,0.000000000,valid
236,0.000000000,valid
237,0.000000000,valid
238,0.000000000,valid
239,0.000000000,valid
240,0.000000000,invalid
241,0.000000000,valid
242,0.000000000,valid
243,0.000000000,valid
244,0.000000000,valid
245,0.000000000,valid
246,0.000000000,invalid
247,0.000000000,valid
248,0.000000000,valid
249,0.000000000,valid
250,0.000000000,valid
251,0.000000000,valid
252,0.000000000,invalid
253,0.000000000,valid
254,0.000000000,valid
255,0.000000000,valid
256,0.000000000,valid
257,0.000000000,valid
258,0.000000000,invalid
259,0.000000000,valid
260,0.000000000,valid
261,0.000000000,valid
262,0.000000000,valid
263,0.000000000,valid
264,0.000000000,invalid
265,0.000000000,valid
266,0.000000000,valid
267,0.000000000,valid
268,0.000000000,valid
269,0.000000000,valid
270,0.000000000,invalid
271,0.000000000,valid
272,0.000000000,valid
273,0.000000000,valid
274,0.000000000,valid
275,0.000000000,valid
276,0.000000000,invalid
277,0.000000000,valid
278,0.000000000,valid
279,0.000000000,valid
280,0.000000000,valid
281,0.000000000,valid
282,0.000000000,invalid
283,0.000000000,valid
284,0.000000000,valid
285,0.000000000,valid
286,0.000000000,valid
287,0.000000000,valid
288,0.000000000,invalid
289,0.000000000,valid
290,0.000000000,valid
291,0.000000000,valid
292,0.000000000,valid
293,0.000000000,valid
294,0.000000000,invalid
295,0.000000000,valid
296,0.000000000,valid
297,0.000000000,valid
298,0.000000000,valid
299,0.000000000,valid
300,0.000000000,invalid
301,0.000000000,valid
302,0.000000000,valid
303,0.000000000,valid
304,0.000000000,valid
305,0.000000000,valid
306,0.000000000,invalid
307,0.000000000,valid
308,0.000000000,valid
309,0.000000000,valid
310,0.000000000,valid
311,0.000000000,valid
312,0.000000000,invalid
313,0.000000000,valid
314,0.000000000,valid
315,0.000000000,valid
316,0.000000000,valid
317,0.000000000,valid
318,0.000000000,invalid
319,0.000000000,valid
320,0.000000000,valid
321,0.000000000,valid
322,0.000000000,valid
323,0.000000000,valid
324,0.000000000,invalid
325,0.000000000,valid
326,0.000000000,valid
327,0.000000000,valid
328,0.000000000,valid
329,0.000000000,valid
330,0.000000000,invalid
331,0.000000000,valid
332,0.000000000,valid
333,0.000000000,valid
334,0.000000000,valid
335,0.000000000,valid
336,0.000000000,invalid
337,0.000000000,valid
338,0.000000000,valid
339,0.000000000,valid
340,0.000000000,valid
341,0.000000000,valid
342,0.000000000,invalid
343,0.000000000,valid
344,0.000000000,valid
345,0.000000000,valid
346,0.000000000,valid
347,0.000000000,valid
348,0.000000000,invalid
349,0.000000000,valid
350,0.000000000,valid
351,0.000000000,valid
352,0.000000000,valid
353,0.000000000,valid
354,0.000000000,invalid
355,0.000000000,valid
356,0.000000000,valid
357,0.000000000,valid
358,0.000000000,valid
359,0.000000000,valid
360,0.000000000,invalid
361,0.000000000,valid
362,0.000000000,valid
363,0.000000000,valid
364,0.000000000,valid
365,0.000000000,valid
366,0.000000000,invalid
367,0.000000000,valid
368,0.000000000,valid
369,0.000000000,valid
370,0.000000000,valid
371,0.000000000,valid
372,0.000000000,invalid
373,0.000000000,valid
374,0.000000000,valid
375,0.000000000,valid
376,0.000000000,valid
377,0.000000000,valid
378,0.000000000,invalid
379,0.000000000,valid
380,0.000000000,valid
381,0.000000000,valid
382,0.000000000,valid
383,0.000000000,valid
384,0.000000000,invalid
385,0.000000000,valid
386,0.000000000,valid
387,0.000000000,valid
388,0.000000000,valid
389,0.000000000,valid
390,0.000000000,invalid
391,0.000000000,valid
392,0.000000000,valid
393,0.000000000,valid
394,0.000000000,valid
395,0.000000000,valid
396,0.000000000,invalid
397,0.000000000,valid
398,0.000000000,valid
399,0.000000000,valid
400,0.000000000,valid
401,0.000000000,valid
402,0.000000000,invalid
403,0.000000000,valid
404,0.000000000,valid
405,0.000000000,valid
406,0.000000000,valid
407,0.000000000,valid
408,0.000000000,invalid
409,0.000000000,valid
410,0.000000000,valid
411,0.000000000,valid
412,0.000000000,valid
413,0.000000000,valid
414,0.000000000,invalid
415,0.000000000,valid
416,0.000000000,valid
417,0.000000000,valid
418,0.000000000,valid
419,0.000000000,valid
420,0.000000000,invalid
421,0.000000000,valid
422,0.000000000,valid
423,0.000000000,valid
424,0.000000000,valid
425,0.000000000,valid
426,0.000000000,invalid
427,0.000000000,valid
428,0.000000000,valid
429,0.000000000,valid
430,0.000000000,valid
431,0.000000000,valid
432,0.000000000,invalid
433,0.000000000,valid
434,0.000000000,valid
435,0.000000000,valid
436,0.000000000,valid
437,0.000000000,valid
438,0.000000000,invalid
439,0.000000000,valid
440,0.000000000,valid
441,0.000000000,valid
442,0.000000000,valid
443,0.000000000,valid
444,0.000000000,invalid
445,0.000000000,valid
446,0.000000000,valid
447,0.000000000,valid
448,0.000000000,valid
449,0.000000000,valid
450,0.000000000,invalid
451,0.000000000,valid
452,0.000000000,valid
453,0.000000000,valid
454,0.000000000,valid
455,0.000000000,valid
456,0.000000000,invalid
457,0.000000000,valid
458,0.000000000,valid
459,0.000000000,valid
460,0.000000000,valid
461,0.000000000,valid
462,0.000000000,invalid
463,0.000000000,valid
464,0.000000000,valid
465,0.000000000,valid
466,0.000000000,valid
467,0.000000000,valid
468,0.000000000,invalid
469,0.000000000,valid
470,0.000000000,valid
471,0.000000000,valid
472,0.000000000,valid
473,0.000000000,valid
474,0.000000000,invalid
475,0.000000000,valid
476,0.000000000,valid
477,0.000000000,valid
478,0.000000000,valid
479,0.000000000,valid
480,0.000000000,invalid
481,0.000000000,valid
482,0.000000000,valid
483,0.000000000,valid
484,0.000000000,valid
485,0.000000000,valid
486,0.000000000,invalid
487,0.000000000,valid
488,0.000000000,valid
489,0.000000000,valid
490,0.000000000,valid
491,0.000000000,valid
492,0.000000000,invalid
493,0.000000000,valid
494,0.000000000,valid
495,0.000000000,valid
496,0.000000000,valid
497,0.000000000,valid
498,0.000000000,invalid
499,0.000000000,valid
500,0.000000000,valid
