round,weight_ratio,action
1,0.493759888,invalid
2,0.243645826,invalid
3,0.120191459,invalid
4,0.059286808,invalid
5,0.029246926,invalid
6,0.029143770,valid
7,0.029093007,valid
8,0.029077577,valid
9,0.029085756,valid
10,0.029109497,valid
11,0.029143291,valid
12,0.029183374,valid
13,0.029227181,valid
14,0.029272977,valid
15,0.029319591,valid
16,0.029366243,valid
17,0.029412418,valid
18,0.029457788,valid
19,0.029502145,valid
20,0.029545368,valid
21,0.029587392,valid
22,0.029628193,valid
23,0.029667770,valid
24,0.029706139,valid
25,0.029743327,valid
26,0.029779367,valid
27,0.029814295,valid
28,0.029848152,valid
29,0.029880975,valid
30,0.029912803,valid
31,0.029943675,valid
32,0.029973627,valid
33,0.030002695,valid
34,0.030030913,valid
35,0.030058314,valid
36,0.030084928,valid
37,0.030110786,valid
38,0.030135916,valid
39,0.030160345,valid
40,0.030184098,valid
41,0.030207201,valid
42,0.030229676,valid
43,0.030251547,valid
44,0.030272834,valid
45,0.030293557,valid
46,0.030313738,valid
47,0.030333392,valid
48,0.030352540,valid
49,0.030371197,valid
50,0.030389380,valid
51,0.030407105,valid
52,0.030424386,valid
53,0.030441237,valid
54,0.030457673,valid
55,0.030473707,valid
56,0.030489350,valid
57,0.030504616,valid
58,0.030519515,valid
59,0.030534060,valid
60,0.030548260,valid
61,0.030562125,valid
62,0.030575667,valid
63,0.030588894,valid
64,0.030601816,valid
65,0.030614441,valid
66,0.030626778,valid
67,0.030638835,valid
68,0.030650621,valid
69,0.030662141,valid
70,0.030673405,valid
71,0.030684419,valid
72,0.030695190,valid
73,0.030705724,valid
74,0.030716028,valid
75,0.030726109,valid
76,0.030735971,valid
77,0.030745621,valid
78,0.030755064,valid
79,0.030764306,valid
80,0.030773352,valid
81,0.030782207,valid
82,0.030790876,valid
83,0.030799363,valid
84,0.030807673,valid
85,0.030815811,valid
86,0.030823781,valid
87,0.030831586,valid
88,0.030839232,valid
89,0.030846722,valid
90,0.030854059,valid
91,0.030861247,valid
92,0.030868291,valid
93,0.030875193,valid
94,0.030881957,valid
95,0.030888585,valid
96,0.030895082,valid
97,0.030901450,valid
98,0.030907693,valid
99,0.030913812,valid
100,0.030919812,valid
101,0.030925694,valid
102,0.030931461,valid
103,0.030937117,valid
104,0.030942662,valid
105,0.030948101,valid
106,0.030953435,valid
107,0.030958667,valid
108,0.030963799,valid
109,0.030968832,valid
110,0.030973770,valid
111,0.030978614,valid
112,0.030983367,valid
113,0.030988030,valid
114,0.030992605,valid
115,0.030997094,valid
116,0.031001499,valid
117,0.031005822,valid
118,0.031010064,valid
119,0.031014228,valid
120,0.031018314,valid
121,0.031022325,valid
