eta,alignment,k,mean_intra_rtt_ms_mean,mean_intra_rtt_ms_ci,max_intra_rtt_ms_mean,max_intra_rtt_ms_ci,tx_cut_ratio_mean,tx_cut_ratio_ci,size_gini_mean,size_gini_ci,size_max_mean,size_max_ci,size_min_mean,size_min_ci,padding_ratio_mean,padding_ratio_ci,coordination_ms_mean,coordination_ms_ci,epoch_churn_mean
0.000000,0.000000,100,218.498089,2.370827,248.626500,5.708633,0.668068,0.005590,0.183400,0.010979,14.866667,0.181577,4.833333,0.523932,0.333333,0.000000,890.341436,40.038774,0.422583
0.250000,0.000000,100,178.622155,4.050886,228.795096,4.830391,0.662755,0.005220,0.180267,0.012546,14.766667,0.224034,4.766667,0.494448,0.333333,0.000000,810.584443,39.251170,0.367333
0.500000,0.000000,100,166.875688,4.550192,223.906680,3.845458,0.666508,0.004684,0.185400,0.010520,14.866667,0.123724,4.900000,0.413382,0.333333,0.000000,740.648809,47.851579,0.352750
0.750000,0.000000,100,121.343320,6.494375,182.093008,8.112159,0.789982,0.010186,0.174333,0.010992,14.600000,0.291170,4.966667,0.435574,0.333333,0.000000,603.559908,27.380939,0.471583
1.000000,0.000000,100,59.482879,4.246352,90.845707,15.365819,0.898882,0.002233,0.175267,0.011221,14.800000,0.145585,5.333333,0.367985,0.333333,0.000000,508.823250,31.955431,0.422000
0.000000,0.500000,100,177.613970,4.341270,225.236140,5.318269,0.668538,0.004491,0.179533,0.010528,14.833333,0.189897,5.033333,0.445597,0.333333,0.000000,811.078199,42.713557,0.423333
0.250000,0.500000,100,151.936486,4.631776,223.743288,9.444292,0.655142,0.005382,0.198333,0.013850,14.900000,0.109189,4.333333,0.491312,0.333333,0.000000,722.868927,39.675449,0.347417
0.500000,0.500000,100,139.546710,5.795076,209.881839,7.795635,0.654326,0.005737,0.207267,0.012659,14.866667,0.204454,4.200000,0.403107,0.333333,0.000000,679.127738,40.036780,0.313917
0.750000,0.500000,100,103.969610,4.456771,175.461577,9.844022,0.712797,0.010886,0.211000,0.012458,14.933333,0.090788,4.366667,0.455398,0.333333,0.000000,589.387873,21.416596,0.353667
1.000000,0.500000,100,59.482879,4.246352,90.845707,15.365819,0.840680,0.006261,0.175267,0.011221,14.800000,0.145585,5.333333,0.367985,0.333333,0.000000,508.823250,31.955431,0.422000
0.000000,1.000000,100,59.647091,3.864175,93.042481,15.056734,0.664473,0.004794,0.178067,0.010536,14.866667,0.155367,4.900000,0.423930,0.333333,0.000000,539.943115,39.845566,0.410833
0.250000,1.000000,100,59.452332,4.482494,90.473456,14.728935,0.665101,0.003987,0.176133,0.010927,14.766667,0.203371,4.933333,0.419567,0.333333,0.000000,530.229401,34.511097,0.420083
0.500000,1.000000,100,58.951278,4.326038,93.436920,17.493979,0.664559,0.004282,0.176733,0.010169,14.833333,0.165014,5.000000,0.420268,0.333333,0.000000,542.637393,44.299034,0.416667
0.750000,1.000000,100,58.963839,3.609602,88.438885,12.812306,0.665754,0.004343,0.175067,0.010888,14.700000,0.213263,5.066667,0.324633,0.333333,0.000000,529.516182,39.325495,0.416667
1.000000,1.000000,100,59.482879,4.246352,90.845707,15.365819,0.668193,0.005007,0.175267,0.011221,14.800000,0.145585,5.333333,0.367985,0.333333,0.000000,508.823250,31.955431,0.422000
