p_change,cluster_size,flat_mi_bits,hzka_commitment_mi_bits,analytic_hzka_mi_bits,reduction_factor
0.100000,5,0.391093,0.136627,0.140591,2.862487
0.100000,10,0.391093,0.063942,0.066079,6.116356
0.100000,15,0.391093,0.044913,0.035283,8.707803
0.250000,5,0.781312,0.102345,0.115206,7.634094
0.250000,10,0.781312,0.011915,0.024170,65.574269
0.250000,15,0.781312,0.002093,0.005590,373.266668
0.500000,5,0.967178,0.007807,0.031977,123.884867
0.500000,10,0.967178,0.000375,0.000977,2579.443308
0.500000,15,0.967178,0.000422,0.000031,2293.300958
0.750000,5,0.790987,0.000374,0.001955,2113.420781
0.750000,10,0.790987,0.000341,0.000002,2321.199920
0.750000,15,0.790987,0.000341,0.000000,2321.199920
0.900000,5,0.412243,0.000138,0.000033,2995.564180
0.900000,10,0.412243,0.000138,0.000000,2995.564180
0.900000,15,0.412243,0.000138,0.000000,2995.564180
0.500000,10,0.959927,0.000161,0.000977,nan
0.500000,10,0.967178,0.000375,0.000977,nan
0.500000,10,0.974767,0.000648,0.000977,nan
