k,clusters,s_agg,tau,inner_jobs,agg_jobs,flat_workers,hzka_inner_workers,hzka_agg_workers,hzka_total_workers,worker_ratio_hzka_over_flat,flat_vcpu,hzka_vcpu,flat_memory_gib,hzka_memory_gib,memory_ratio_hzka_over_flat,flat_critical_path_s,hzka_critical_path_s,latency_ratio_hzka_over_flat,incremental_workers,incremental_memory_gib,scenario
25,5,122.540000,120.000000,25,5,12,12,6,18,1.500000,192,288,423.489348,702.969348,1.659946,65.800000,179.990000,2.735410,6,279.480000,measured
50,8,122.540000,120.000000,50,8,24,24,9,33,1.375000,384,528,846.978696,1266.198696,1.494959,75.800000,180.980000,2.387599,9,419.220000,measured
100,10,122.540000,120.000000,100,10,47,47,11,58,1.234043,752,928,1658.666613,2171.046613,1.308911,95.800000,181.650000,1.896138,11,512.380000,measured
150,13,122.540000,120.000000,150,13,70,70,14,84,1.200000,1120,1344,2470.354530,3122.474530,1.263978,115.800000,182.630000,1.577116,14,652.120000,measured
200,15,122.540000,120.000000,200,15,94,94,16,110,1.170213,1504,1760,3317.333226,4062.613226,1.224662,135.800000,183.300000,1.349779,16,745.280000,measured
25,5,90.200000,120.000000,25,5,12,12,4,16,1.333333,192,256,423.489348,609.809348,1.439964,65.800000,147.650000,2.243921,4,186.320000,linear point
50,8,90.200000,120.000000,50,8,24,24,7,31,1.291667,384,496,846.978696,1173.038696,1.384968,75.800000,148.640000,1.960950,7,326.060000,linear point
100,10,90.200000,120.000000,100,10,47,47,8,55,1.170213,752,880,1658.666613,2031.306613,1.224662,95.800000,149.310000,1.558559,8,372.640000,linear point
150,13,90.200000,120.000000,150,13,70,70,10,80,1.142857,1120,1280,2470.354530,2936.154530,1.188556,115.800000,150.290000,1.297841,10,465.800000,linear point
200,15,90.200000,120.000000,200,15,94,94,12,106,1.127660,1504,1696,3317.333226,3876.293226,1.168497,135.800000,150.960000,1.111635,12,558.960000,linear point
25,5,108.300000,120.000000,25,5,12,12,5,17,1.416667,192,272,423.489348,656.389348,1.549955,65.800000,165.750000,2.518997,5,232.900000,quasilinear point
50,8,108.300000,120.000000,50,8,24,24,8,32,1.333333,384,512,846.978696,1219.618696,1.439964,75.800000,166.740000,2.199736,8,372.640000,quasilinear point
100,10,108.300000,120.000000,100,10,47,47,10,57,1.212766,752,912,1658.666613,2124.466613,1.280828,95.800000,167.410000,1.747495,10,465.800000,quasilinear point
150,13,108.300000,120.000000,150,13,70,70,12,82,1.171429,1120,1312,2470.354530,3029.314530,1.226267,115.800000,168.390000,1.454145,12,558.960000,quasilinear point
200,15,108.300000,120.000000,200,15,94,94,14,108,1.148936,1504,1728,3317.333226,3969.453226,1.196580,135.800000,169.060000,1.244919,14,652.120000,quasilinear point
25,5,54.600000,120.000000,25,5,12,12,3,15,1.250000,192,240,423.489348,563.229348,1.329973,65.800000,112.050000,1.702888,3,139.740000,interval low
50,8,54.600000,120.000000,50,8,24,24,4,28,1.166667,384,448,846.978696,1033.298696,1.219982,75.800000,113.040000,1.491293,4,186.320000,interval low
100,10,54.600000,120.000000,100,10,47,47,5,52,1.106383,752,832,1658.666613,1891.566613,1.140414,95.800000,113.710000,1.186952,5,232.900000,interval low
150,13,54.600000,120.000000,150,13,70,70,6,76,1.085714,1120,1216,2470.354530,2749.834530,1.113134,115.800000,114.690000,0.990415,6,279.480000,interval low
200,15,54.600000,120.000000,200,15,94,94,7,101,1.074468,1504,1616,3317.333226,3643.393226,1.098290,135.800000,115.360000,0.849485,7,326.060000,interval low
25,5,122.500000,120.000000,25,5,12,12,6,18,1.500000,192,288,423.489348,702.969348,1.659946,65.800000,179.950000,2.734802,6,279.480000,interval high
50,8,122.500000,120.000000,50,8,24,24,9,33,1.375000,384,528,846.978696,1266.198696,1.494959,75.800000,180.940000,2.387071,9,419.220000,interval high
100,10,122.500000,120.000000,100,10,47,47,11,58,1.234043,752,928,1658.666613,2171.046613,1.308911,95.800000,181.610000,1.895720,11,512.380000,interval high
150,13,122.500000,120.000000,150,13,70,70,14,84,1.200000,1120,1344,2470.354530,3122.474530,1.263978,115.800000,182.590000,1.576770,14,652.120000,interval high
200,15,122.500000,120.000000,200,15,94,94,16,110,1.170213,1504,1760,3317.333226,4062.613226,1.224662,135.800000,183.260000,1.349485,16,745.280000,interval high
