byz_frac,model_capture,steady_accuracy_all,steady_accuracy_inbound,round_complete_frac,mean_censored_clusters,byzantine_isolated_frac,mean_isolation_round
0.050000,0,1.000000,1.000000,1.000000,0.000000,1.000000,6.160000
0.050000,1,0.999810,0.999987,0.936410,0.063590,1.000000,12.780000
0.100000,0,1.000000,1.000000,1.000000,0.000000,1.000000,6.136667
0.100000,1,0.997382,0.999933,0.806154,0.201667,0.983333,14.056667
0.200000,0,1.000000,1.000000,1.000000,0.000000,1.000000,6.128333
0.200000,1,0.966774,0.999478,0.206923,1.282051,0.870000,37.696570
0.300000,0,1.000000,1.000000,1.000000,0.000000,1.000000,6.124444
0.300000,1,0.883813,0.998280,0.007821,3.595385,0.681111,70.035810
0.400000,0,1.000000,1.000000,1.000000,0.000000,1.000000,6.122500
0.400000,1,0.728041,0.996899,0.000000,6.140641,0.373333,91.219565
0.500000,0,1.000000,1.000000,1.000000,0.000000,1.000000,6.114667
0.500000,1,0.553205,0.995211,0.000000,8.607692,0.130000,101.677137
