seed,round,honest_r_eff,attacker_r_eff,total_slashed
42,1,0.5056,0.475,0.0
42,2,0.51183,0.481,0.0
42,3,0.515242,0.487624,0.0
42,4,0.51886,0.494646,0.0
42,5,0.525932,0.501908,0.0
42,6,0.52971,0.250954,0.1
42,7,0.53351,0.254017,0.1
42,8,0.540742,0.257308,0.1
42,9,0.547928,0.244442,0.1
42,10,0.551552,0.24808,0.1
42,11,0.558644,0.251794,0.1
42,12,0.562202,0.125897,0.19
42,13,0.569165,0.127445,0.19
42,14,0.572432,0.1291,0.19
42,15,0.579252,0.13082,0.19
42,16,0.578889,0.132577,0.19
42,17,0.585615,0.134351,0.19
42,18,0.592237,0.067175,0.271
42,19,0.595246,0.063817,0.271
42,20,0.601718,0.06459,0.271
42,21,0.608087,0.065412,0.271
42,22,0.610792,0.066265,0.271
42,23,0.613338,0.067134,0.271
42,24,0.619524,0.033567,0.3439
42,25,0.62561,0.033923,0.3439
42,26,0.6316,0.032227,0.3439
42,27,0.629767,0.032636,0.3439
42,28,0.635691,0.033061,0.3439
42,29,0.637749,0.033495,0.3439
42,30,0.643545,0.016748,0.40951
42,31,0.638028,0.016926,0.40951
42,32,0.640146,0.017117,0.40951
42,33,0.642302,0.017317,0.40951
42,34,0.644041,0.017521,0.40951
42,35,0.645899,0.017728,0.40951
42,36,0.651565,0.01,0.468559
42,37,0.657139,0.01,0.468559
42,38,0.658577,0.01,0.468559
42,39,0.66404,0.01,0.468559
42,40,0.669415,0.01,0.468559
42,41,0.674704,0.01,0.468559
42,42,0.676017,0.01,0.468559
42,43,0.677197,0.01,0.468559
42,44,0.682362,0.01,0.468559
42,45,0.683562,0.01,0.468559
42,46,0.688625,0.01,0.468559
42,47,0.685553,0.01,0.468559
42,48,0.690584,0.01,0.468559
42,49,0.695535,0.01,0.468559
42,50,0.700406,0.01,0.468559
42,51,0.701161,0.01,0.468559
42,52,0.70206,0.01,0.468559
42,53,0.706827,0.01,0.468559
42,54,0.711518,0.01,0.468559
42,55,0.712141,0.01,0.468559
42,56,0.712873,0.01,0.468559
42,57,0.717467,0.01,0.468559
42,58,0.717733,0.01,0.468559
42,59,0.718368,0.01,0.468559
42,60,0.722874,0.01,0.468559
42,61,0.727308,0.01,0.468559
42,62,0.731671,0.01,0.468559
42,63,0.735964,0.01,0.468559
42,64,0.740189,0.01,0.468559
42,65,0.744346,0.01,0.468559
42,66,0.748436,0.01,0.468559
42,67,0.752461,0.01,0.468559
42,68,0.756422,0.01,0.468559
42,69,0.760319,0.01,0.468559
42,70,0.76016,0.01,0.468559
42,71,0.763997,0.01,0.468559
42,72,0.767773,0.01,0.468559
42,73,0.767488,0.01,0.468559
42,74,0.771208,0.01,0.468559
42,75,0.770616,0.01,0.468559
42,76,0.774287,0.01,0.468559
42,77,0.773647,0.01,0.468559
42,78,0.772889,0.01,0.468559
42,79,0.776523,0.01,0.468559
42,80,0.77182,0.01,0.468559
42,81,0.771471,0.01,0.468559
42,82,0.770926,0.01,0.468559
42,83,0.774591,0.01,0.468559
42,84,0.778198,0.01,0.468559
42,85,0.777324,0.01,0.468559
42,86,0.776605,0.01,0.468559
42,87,0.780179,0.01,0.468559
42,88,0.779184,0.01,0.468559
42,89,0.778297,0.01,0.468559
42,90,0.781844,0.01,0.468559
42,91,0.785334,0.01,0.468559
42,92,0.788769,0.01,0.468559
42,93,0.783713,0.01,0.468559
42,94,0.783095,0.01,0.468559
42,95,0.786565,0.01,0.468559
42,96,0.781533,0.01,0.468559
42,97,0.785028,0.01,0.468559
42,98,0.779934,0.01,0.468559
42,99,0.783455,0.01,0.468559
42,100,0.786919,0.01,0.468559
42,101,0.790329,0.01,0.468559
42,102,0.793683,0.01,0.468559
42,103,0.796985,0.01,0.468559
42,104,0.800233,0.01,0.468559
42,105,0.803429,0.01,0.468559
42,106,0.802263,0.01,0.468559
42,107,0.801294,0.01,0.468559
42,108,0.804473,0.01,0.468559
42,109,0.803258,0.01,0.468559
42,110,0.797755,0.01,0.468559
42,111,0.800991,0.01,0.468559
42,112,0.804175,0.01,0.468559
42,113,0.802974,0.01,0.468559
42,114,0.801863,0.01,0.468559
42,115,0.805033,0.01,0.468559
42,116,0.803547,0.01,0.468559
42,117,0.802423,0.01,0.468559
42,118,0.801337,0.01,0.468559
42,119,0.800469,0.01,0.468559
42,120,0.803661,0.01,0.468559
42,121,0.806803,0.01,0.468559
42,122,0.805396,0.01,0.468559
42,123,0.804309,0.01,0.468559
