seed,round,honest_r_can,attacker_r_can,attacker_r_old
100,1,0.50632,0.50632,0.52079
100,2,0.513043,0.513043,0.54281
100,3,0.520011,0.520011,0.565173
100,4,0.527115,0.527115,0.587294
100,5,0.500759,0.500759,0.568735
100,6,0.508343,0.508343,0.586821
100,7,0.515927,0.515927,0.605706
100,8,0.523475,0.523475,0.624716
100,9,0.530961,0.530961,0.643414
100,10,0.538369,0.265481,0.62051
100,11,0.545687,0.268695,0.635351
100,12,0.552909,0.272019,0.65111
100,13,0.560029,0.275403,0.66714
100,14,0.567045,0.278812,0.683012
100,15,0.573956,0.139406,0.656688
100,16,0.580762,0.140879,0.669076
100,17,0.587461,0.142416,0.682536
100,18,0.594056,0.143992,0.696413
100,19,0.600548,0.145586,0.710274
100,20,0.606936,0.072793,0.681536
100,21,0.613223,0.073477,0.69221
100,22,0.61941,0.074196,0.704071
100,23,0.625499,0.074935,0.716459
100,24,0.63149,0.075684,0.728932
100,25,0.637386,0.037842,0.698533
100,26,0.643187,0.038161,0.708028
100,27,0.611028,0.036253,0.675554
100,28,0.617251,0.03662,0.684576
100,29,0.623375,0.036997,0.69552
100,30,0.592206,0.035147,0.66461
100,31,0.598731,0.035559,0.674626
100,32,0.605151,0.035972,0.686425
100,33,0.611469,0.036383,0.69914
100,34,0.617685,0.036792,0.712186
100,35,0.586801,0.034953,0.682695
100,36,0.593412,0.035387,0.692982
100,37,0.599917,0.035817,0.704575
100,38,0.606319,0.036241,0.716778
100,39,0.612618,0.036659,0.729124
100,40,0.618816,0.018329,0.69861
100,41,0.624915,0.018504,0.708049
100,42,0.630916,0.018686,0.718776
100,43,0.636821,0.018871,0.730118
100,44,0.60498,0.017927,0.698709
100,45,0.611301,0.01,0.663863
100,46,0.61752,0.01,0.672014
100,47,0.62364,0.01,0.682652
100,48,0.629661,0.01,0.694689
100,49,0.635587,0.01,0.707387
100,50,0.641417,0.01,0.67771
100,51,0.647155,0.01,0.688021
100,52,0.6528,0.01,0.699733
100,53,0.658355,0.01,0.712114
100,54,0.663822,0.01,0.724672
100,55,0.669201,0.01,0.694453
100,56,0.674493,0.01,0.704126
100,57,0.679701,0.01,0.715087
100,58,0.684826,0.01,0.726659
100,59,0.650585,0.01,0.695534
100,60,0.656176,0.01,0.660953
100,61,0.661677,0.01,0.669297
100,62,0.66709,0.01,0.680118
100,63,0.672416,0.01,0.692326
100,64,0.677658,0.01,0.705185
100,65,0.682815,0.01,0.675702
100,66,0.68789,0.01,0.68615
100,67,0.692884,0.01,0.697991
100,68,0.697798,0.01,0.710492
100,69,0.702633,0.01,0.723163
100,70,0.707391,0.01,0.693077
100,71,0.712073,0.01,0.702845
100,72,0.71668,0.01,0.713895
100,73,0.721213,0.01,0.72555
100,74,0.725673,0.01,0.737356
100,75,0.730062,0.01,0.706173
100,76,0.734381,0.01,0.715121
100,77,0.738631,0.01,0.725381
100,78,0.742813,0.01,0.736282
100,79,0.746928,0.01,0.747374
100,80,0.750977,0.01,0.715325
100,81,0.754962,0.01,0.723652
100,82,0.758882,0.01,0.733331
100,83,0.76274,0.01,0.743687
100,84,0.766536,0.01,0.75427
100,85,0.770272,0.01,0.721611
100,86,0.773947,0.01,0.729505
100,87,0.777564,0.01,0.738779
100,88,0.781123,0.01,0.748758
100,89,0.784625,0.01,0.75899
100,90,0.788071,0.01,0.725911
100,91,0.791462,0.01,0.733507
100,92,0.794799,0.01,0.742503
100,93,0.798082,0.01,0.752224
100,94,0.801313,0.01,0.762216
100,95,0.804492,0.01,0.728849
100,96,0.80762,0.01,0.736241
100,97,0.810698,0.01,0.745048
100,98,0.813727,0.01,0.754593
100,99,0.816707,0.01,0.76442
100,100,0.81964,0.01,0.730856
100,101,0.822526,0.01,0.738109
100,102,0.825365,0.01,0.746786
100,103,0.828159,0.01,0.75621
100,104,0.830909,0.01,0.765925
100,105,0.833614,0.01,0.732227
100,106,0.836276,0.01,0.739385
