seed,round,honest_r_eff,attacker_r_eff
42,1,0.50632,0.25
42,2,0.513043,0.125
42,3,0.520011,0.0625
42,4,0.527115,0.03125
42,5,0.534277,0.015625
42,6,0.507564,0.01
42,7,0.51516,0.01
42,8,0.52272,0.01
42,9,0.530218,0.01
42,10,0.537638,0.01
42,11,0.544968,0.01
42,12,0.552201,0.01
42,13,0.559332,0.01
42,14,0.56636,0.01
42,15,0.573282,0.01
42,16,0.580098,0.01
42,17,0.586808,0.01
42,18,0.593414,0.01
42,19,0.599915,0.01
42,20,0.606314,0.01
42,21,0.612611,0.01
42,22,0.58198,0.01
42,23,0.588667,0.01
42,24,0.595248,0.01
42,25,0.601723,0.01
42,26,0.608095,0.01
42,27,0.614365,0.01
42,28,0.620535,0.01
42,29,0.626606,0.01
42,30,0.595276,0.01
42,31,0.601752,0.01
42,32,0.608124,0.01
42,33,0.614393,0.01
42,34,0.620563,0.01
42,35,0.626634,0.01
42,36,0.632608,0.01
42,37,0.600978,0.01
42,38,0.607362,0.01
42,39,0.613644,0.01
42,40,0.619826,0.01
42,41,0.625909,0.01
42,42,0.631894,0.01
42,43,0.637784,0.01
42,44,0.643579,0.01
42,45,0.649282,0.01
42,46,0.654893,0.01
42,47,0.660415,0.01
42,48,0.665848,0.01
42,49,0.671195,0.01
42,50,0.637635,0.01
42,51,0.605753,0.01
42,52,0.612061,0.01
42,53,0.618268,0.01
42,54,0.624376,0.01
42,55,0.630386,0.01
42,56,0.6363,0.01
42,57,0.642119,0.01
42,58,0.647845,0.01
42,59,0.65348,0.01
42,60,0.659024,0.01
42,61,0.66448,0.01
42,62,0.669848,0.01
42,63,0.67513,0.01
42,64,0.680328,0.01
42,65,0.646312,0.01
42,66,0.651971,0.01
42,67,0.657539,0.01
42,68,0.663019,0.01
42,69,0.66841,0.01
42,70,0.673716,0.01
42,71,0.678936,0.01
42,72,0.684073,0.01
42,73,0.689128,0.01
42,74,0.694102,0.01
42,75,0.698997,0.01
42,76,0.703813,0.01
42,77,0.708552,0.01
42,78,0.713215,0.01
42,79,0.717803,0.01
42,80,0.722318,0.01
42,81,0.726761,0.01
42,82,0.731133,0.01
42,83,0.735435,0.01
42,84,0.739668,0.01
42,85,0.702685,0.01
42,86,0.707442,0.01
42,87,0.712123,0.01
42,88,0.716729,0.01
42,89,0.721261,0.01
42,90,0.725721,0.01
42,91,0.730109,0.01
42,92,0.734428,0.01
42,93,0.738677,0.01
42,94,0.742858,0.01
42,95,0.746972,0.01
42,96,0.751021,0.01
42,97,0.755004,0.01
42,98,0.758924,0.01
42,99,0.762781,0.01
42,100,0.766577,0.01
43,1,0.50632,0.25
43,2,0.513043,0.125
43,3,0.520011,0.0625
43,4,0.527115,0.03125
43,5,0.500759,0.015625
43,6,0.508343,0.01
43,7,0.515927,0.01
43,8,0.523475,0.01
43,9,0.530961,0.01
43,10,0.538369,0.01
43,11,0.545687,0.01
43,12,0.552909,0.01
43,13,0.560029,0.01
43,14,0.567045,0.01
43,15,0.573956,0.01
43,16,0.545258,0.01
43,17,0.552523,0.01
43,18,0.559675,0.01
43,19,0.566714,0.01
43,20,0.573643,0.01
43,21,0.580462,0.01
43,22,0.587172,0.01
43,23,0.593776,0.01
43,24,0.600275,0.01
43,25,0.60667,0.01
43,26,0.612963,0.01
43,27,0.619155,0.01
43,28,0.625248,0.01
43,29,0.631244,0.01
43,30,0.637144,0.01
43,31,0.64295,0.01
43,32,0.648663,0.01
43,33,0.654284,0.01
43,34,0.659815,0.01
43,35,0.665258,0.01
43,36,0.670614,0.01
43,37,0.675884,0.01
43,38,0.68107,0.01
43,39,0.686173,0.01
43,40,0.691194,0.01
43,41,0.696135,0.01
43,42,0.700997,0.01
43,43,0.705781,0.01
43,44,0.710489,0.01
43,45,0.674964,0.01
43,46,0.680165,0.01
43,47,0.685282,0.01
43,48,0.690318,0.01
43,49,0.695272,0.01
43,50,0.700148,0.01
43,51,0.704946,0.01
43,52,0.669698,0.01
43,53,0.674983,0.01
43,54,0.680184,0.01
43,55,0.685301,0.01
43,56,0.690336,0.01
43,57,0.69529,0.01
43,58,0.700166,0.01
43,59,0.704963,0.01
43,60,0.709684,0.01
43,61,0.714329,0.01
43,62,0.7189,0.01
43,63,0.682955,0.01
43,64,0.688027,0.01
43,65,0.693019,0.01
43,66,0.697931,0.01
43,67,0.702764,0.01
43,68,0.707519,0.01
43,69,0.712199,0.01
43,70,0.716804,0.01
43,71,0.721335,0.01
43,72,0.725794,0.01
43,73,0.730181,0.01
43,74,0.734498,0.01
43,75,0.738746,0.01
43,76,0.742926,0.01
43,77,0.747039,0.01
43,78,0.709687,0.01
43,79,0.714332,0.01
43,80,0.718903,0.01
43,81,0.723401,0.01
43,82,0.727826,0.01
43,83,0.732181,0.01
43,84,0.736466,0.01
43,85,0.740683,0.01
43,86,0.744832,0.01
43,87,0.748914,0.01
43,88,0.752932,0.01
43,89,0.756885,0.01
43,90,0.760775,0.01
43,91,0.764602,0.01
43,92,0.768369,0.01
43,93,0.772075,0.01
43,94,0.775722,0.01
43,95,0.77931,0.01
43,96,0.782841,0.01
43,97,0.786316,0.01
43,98,0.789735,0.01
43,99,0.793099,0.01
43,100,0.796409,0.01
44,1,0.50632,0.25
44,2,0.513043,0.125
44,3,0.520011,0.0625
44,4,0.527115,0.03125
44,5,0.534277,0.015625
44,6,0.541447,0.01
44,7,0.548586,0.01
44,8,0.55567,0.01
44,9,0.562682,0.01
44,10,0.569612,0.01
44,11,0.576451,0.01
44,12,0.583194,0.01
44,13,0.58984,0.01
44,14,0.596386,0.01
44,15,0.602832,0.01
44,16,0.609179,0.01
44,17,0.615427,0.01
44,18,0.621576,0.01
44,19,0.627628,0.01
44,20,0.633584,0.01
44,21,0.639445,0.01
44,22,0.645213,0.01
44,23,0.650889,0.01
44,24,0.656475,0.01
44,25,0.661971,0.01
44,26,0.667379,0.01
44,27,0.672701,0.01
44,28,0.677937,0.01
44,29,0.68309,0.01
44,30,0.688161,0.01
44,31,0.69315,0.01
44,32,0.69806,0.01
44,33,0.702891,0.01
44,34,0.707644,0.01
